Participant ID,Condition Number,Story1_Cond,Story2_Cond,Story3_Cond,,none,neutral,human,godot/tone,,Q228,Q254,Q230,Q231,Q232,Q255,Q234,Q256,Q252,Q253,Story1_Responses,,Q263,Q239,Q240,Q259,Q260,Q243,Q244,Q261,Q245,Q246,Story2_Responses,,Q247,Q248,Q249,Q250,Q251,Q252,Q253,Q254,Q255,Q256,Story3_Responses,,Q269,Q270,Q271,Q272,,Sex 1=male 2=female,Age,Ethnicity,Ethnicity_Text,PlaceofBirth,LanguageatHome,,
178,1,human,none,neutral,,3,6,8,3,,3,2,3,2,2,5,1,1,6,2,8,,2,1,2,1,1,1,1,1,1,3,3,,3,2,3,3,1,1,2,3,1,1,6,,2,1,2,2,,1,18,1,Taiwanese,Monterey Park,"English, Mandarin",,
262,1,human,none,neutral,,6,2,5,0,,1,1,1,2,1,4,1,2,5,3,5,,1,2,1,1,3,1,2,2,2,3,6,,2,1,2,1,1,1,1,1,1,1,2,,1,1,1,1,,1,21,1,Chinese,"Torrance, CA",English,,
298,1,human,none,neutral,,3,8,6,2,,3,1,2,3,1,1,3,2,5,1,6,,1,1,2,1,1,1,2,2,1,1,3,,3,2,2,3,3,2,1,3,3,1,8,,1,1,2,3,,1,18,1,Japanese,"Los Angeles, California",Japanese/English,,
196,1,human,none,neutral,,3,1,8,2,,2,2,2,1,3,5,1,2,5,3,8,,1,2,2,1,1,1,1,1,1,2,3,,1,1,1,1,1,2,1,1,1,1,1,,,1,1,2,,2,17,1,Vietnamese American,"Fountain Valley, CA",English,,
214,1,human,none,neutral,,3,3,5,0,,2,1,3,1,1,1,1,3,6,3,5,,2,1,1,1,1,1,2,1,2,1,3,,2,2,1,1,1,1,1,3,1,1,3,,1,1,1,1,,2,19,1,Chinese,San Francisco,Cantonese Chinese,,
220,1,human,none,neutral,,2,3,9,3,,3,2,2,2,3,5,1,2,5,2,9,,2,1,1,1,1,1,1,2,1,1,2,,1,2,1,1,1,2,1,1,1,2,3,,2,1,2,2,,2,21,1,Filipino,covina,english,,
226,1,human,none,neutral,,5,5,9,2,,3,3,3,1,2,4,2,2,2,3,9,,1,1,1,2,3,1,1,2,2,2,5,,3,2,1,3,1,2,1,3,1,1,5,,2,1,1,2,,2,20,1,Chinese-American,China,Chinese,,
232,1,human,none,neutral,,3,8,10,3,,3,2,2,2,2,4,2,2,5,3,10,,1,1,1,1,3,1,1,2,3,1,3,,1,3,2,3,1,2,2,3,2,3,8,,1,3,2,2,,2,19,1,Chinese,China,Chinese,,
304,1,human,none,neutral,,5,7,7,3,,2,3,3,1,3,4,1,1,5,3,7,,1,3,1,1,1,3,2,3,1,3,5,,3,1,2,3,3,2,1,1,2,3,7,,2,3,1,2,,2,21,1,Filipino,Japan,"English, Tagalog",,
256,1,human,none,neutral,,1,3,4,2,,1,2,3,1,1,1,1,1,2,3,4,,1,1,1,1,1,1,1,2,1,1,1,,1,2,2,1,1,1,1,2,1,1,3,,2,1,3,1,,2,18,5,,"San Mateo, CA",English,,
131,1,human,none,neutral,,0,1,5,4,,1,1,1,3,1,4,3,1,5,3,5,,1,1,1,1,1,1,1,1,1,1,0,,2,1,1,1,1,1,1,1,1,1,1,,2,3,3,2,,1,18,6,,"Bakersfield, CA",English,,
154,1,human,none,neutral,,7,3,5,2,,2,1,1,3,1,1,1,3,5,3,5,,2,3,2,1,1,1,2,2,3,3,7,,3,2,1,1,1,1,1,2,1,2,4,,2,1,3,1,,1,18,6,,San Juan Capistrano,English,,
166,1,human,none,neutral,,2,2,7,2,,3,2,3,2,1,4,1,1,2,3,7,,1,3,1,2,1,1,1,1,1,1,2,,2,1,1,1,1,1,1,1,1,1,1,,3,1,1,2,,1,19,6,,"Pasadena, CA USA",English,,
202,1,human,none,neutral,,8,4,6,2,,1,3,2,1,2,1,1,2,5,3,6,,2,2,1,3,1,3,3,2,3,2,8,,1,2,1,1,1,2,2,1,,1,4,,2,1,1,2,,1,18,6,,"Torrance, California",English,,
208,1,human,none,neutral,,3,1,6,4,,2,1,2,2,1,4,1,1,5,3,6,,1,3,2,1,1,1,1,1,1,3,3,,1,2,1,1,1,1,1,1,1,1,1,,2,3,2,2,,1,18,6,,San Jose California,English,,
268,1,human,none,neutral,,0,2,1,1,,1,1,1,1,1,1,1,1,2,1,1,,1,1,1,1,1,1,1,1,1,1,0,,2,1,1,1,2,1,1,1,1,1,2,,1,1,1,2,,1,19,6,,"Salt Lake City, Utah",English,,
292,1,human,none,neutral,,6,4,6,2,,1,2,2,2,2,5,1,1,2,1,6,,2,3,1,3,1,2,1,1,3,3,6,,1,2,3,1,1,2,2,1,1,1,4,,3,1,2,1,,1,19,6,,California,English,,
125,1,human,none,neutral,,4,1,3,1,,1,1,1,1,1,4,1,1,2,3,3,,1,1,1,1,2,1,2,2,1,3,4,,1,1,3,1,1,1,1,1,1,1,1,,1,1,1,2,,2,18,6,,"Austin, Texas",English,,
137,1,human,none,neutral,,6,1,4,1,,1,3,1,1,2,4,1,1,2,1,4,,1,1,1,3,1,2,2,2,3,3,6,,1,2,1,1,1,1,1,1,1,1,1,,1,1,1,2,,2,18,6,,USA,English,,
143,1,human,none,neutral,,3,2,6,2,,1,3,2,1,3,5,1,1,6,3,6,,1,1,2,1,1,1,1,2,3,1,3,,2,1,1,1,1,1,1,3,1,1,2,,2,1,1,3,,2,20,6,,Glendale,English and Armenian,,
148,1,human,none,neutral,,4,7,7,1,,2,1,1,3,2,5,1,2,5,3,7,,1,1,1,2,2,1,1,2,1,3,4,,1,2,2,1,3,2,2,3,2,1,7,,1,1,1,1,,2,18,6,,CA,english,,
